Severity,Code,Description,Last Change,DN
major,F0103,Physical Interface eth1/2 on Node 1 of fabric DC2-ACI-01 with hostname DC2-APIC-01 is now Down,2024-08-03T10:20:50.204+07:00,topology/pod-1/node-1/sys/cphys-[eth1/2]/fault-F0103
major,F4222,"Smart Agent (SA) failed to receive a RUM report acknowledgement from CSSM or On-Prem due to network issue. If it is offline mode, you need to manually download RUM report and import acknowledgement.",2024-10-02T07:46:58.662+07:00,licensecont/manager/fault-F4222
major,F0103,Physical Interface eth1/2 on Node 2 of fabric DC2-ACI-01 with hostname DC2-APIC-02 is now Down,2024-08-03T10:37:01.186+07:00,topology/pod-1/node-2/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth1/2 on Node 3 of fabric DC2-ACI-01 with hostname DC2-APIC-03 is now Down,2024-08-03T10:54:37.536+07:00,topology/pod-1/node-3/sys/cphys-[eth1/2]/fault-F0103
major,F3265,Could not assign routable IP addresses to Node (ID 3502).,2024-09-05T00:17:14.059+07:00,uni/controller/extRoutableNodeDef-3502/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 3501).,2024-09-05T00:17:14.059+07:00,uni/controller/extRoutableNodeDef-3501/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 3301).,2024-09-05T00:17:14.059+07:00,uni/controller/extRoutableNodeDef-3301/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 3302).,2024-09-05T00:17:14.059+07:00,uni/controller/extRoutableNodeDef-3302/fault-F3265
critical,F0532,"Port is down, reason being linkNotConnected(connected), used by EPG on node 3101 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3101",2025-09-18T17:35:58.089+07:00,topology/pod-1/node-3101/sys/phys-[eth1/3]/phys/fault-F0532
critical,F0532,"Port is down, reason being linkNotConnected(connected), used by EPG on node 3101 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3101",2025-09-25T15:52:37.638+07:00,topology/pod-1/node-3101/sys/phys-[eth1/4]/phys/fault-F0532
major,F2833,"PBR service redir grp id 3 on nodeid 3101 fabric hostname DC2-SVR-LEAF-3101 is in failed state, reason tracked as down.",2025-02-26T20:11:19.846+07:00,topology/pod-1/node-3101/sys/svcredir/inst/destgrp-3/fault-F2833
major,F2833,"PBR service redir grp id 4 on nodeid 3101 fabric hostname DC2-SVR-LEAF-3101 is in failed state, reason tracked as down.",2025-02-26T20:11:19.846+07:00,topology/pod-1/node-3101/sys/svcredir/inst/destgrp-4/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 3101 fabric hostname DC2-SVR-LEAF-3101 is in failed state. Reason: Service Device is tracked as down,2025-02-26T20:11:19.846+07:00,topology/pod-1/node-3101/sys/svcredir/inst/destgrp-4/rsdestAtt-[topology/pod-1/node-3101/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 3101 fabric hostname DC2-SVR-LEAF-3101 is in failed state, reason tracked as down.",2025-02-26T20:11:19.846+07:00,topology/pod-1/node-3101/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2397
