Hostname,Role,Serial,IP,Version,Uptime,Health,CPU,Memory
DC2-SVR-LEAF-3101,leaf,FDO27420LCS,10.222.251.33,n9000-16.0(6c),216:00:21:11.000,68,9.718369,69.0
DC2-SVR-LEAF-3103,leaf,FDO28130QQM,10.222.251.35,n9000-16.0(6c),415:16:58:13.000,96,9.256335,59.0
DC2-SVR-LEAF-3104,leaf,FDO28130AYL,10.222.251.36,n9000-16.0(6c),415:18:08:22.000,96,9.348817,63.0
DC2-SVR-LEAF-3105,leaf,FDO28130AYW,10.222.251.37,n9000-16.0(6c),415:16:58:34.000,22,11.279951,59.0
DC2-SVR-LEAF-3106,leaf,FDO28130QQC,10.222.251.38,n9000-16.0(6c),415:02:09:19.000,22,11.97132,59.0
DC2-SVR-LEAF-3108,leaf,FDO28130QQD,10.222.251.40,n9000-16.0(6c),415:02:09:43.000,56,9.762416,62.0
DC2-SVR-LEAF-3107,leaf,FDO281200N0,10.222.251.39,n9000-16.0(6c),415:18:31:57.000,56,9.426035,60.0
DC2-SVR-LEAF-3109,leaf,FDO28130QT2,10.222.251.41,n9000-16.0(6c),415:02:07:30.000,96,9.216516,60.0
DC2-SVR-LEAF-3110,leaf,FDO28130QQA,10.222.251.42,n9000-16.0(6c),415:02:09:44.000,96,8.691245,60.0
DC2-SVR-LEAF-3111,leaf,FDO28130QPD,10.222.251.43,n9000-16.0(6c),415:16:58:39.000,96,9.245776,61.0
DC2-SVR-LEAF-3112,leaf,FDO28130QS3,10.222.251.44,n9000-16.0(6c),407:00:23:32.000,96,9.092637,62.0
DC2-SVR-LEAF-3113,leaf,FDO28130B1A,10.222.251.45,n9000-16.0(6c),415:16:58:20.000,58,9.588827,61.0
DC2-SVR-LEAF-3115,leaf,FDO28130W1L,10.222.251.47,n9000-16.0(6c),415:02:45:19.000,96,8.243141,55.0
DC2-SVR-LEAF-3114,leaf,FDO28130AX9,10.222.251.46,n9000-16.0(6c),415:02:09:48.000,56,10.049714,60.0
DC2-SVR-LEAF-3116,leaf,FDO28130QP6,10.222.251.48,n9000-16.0(6c),415:02:09:49.000,78,8.791682999999999,60.0
DC2-SVR-LEAF-3117,leaf,FDO28130QQ7,10.222.251.49,n9000-16.0(6c),400:20:20:33.000,65,8.931421,61.0
DC2-SVR-LEAF-3118,leaf,FDO28130JLY,10.222.251.50,n9000-16.0(6c),392:21:29:15.000,65,9.48256,60.0
DC2-SVR-LEAF-3120,leaf,FDO28130AZY,10.222.251.75,n9000-16.0(6c),415:02:10:00.000,72,11.07901,61.0
DC2-SVR-LEAF-3123,leaf,FDO280318M6,10.222.251.92,n9000-16.0(6c),370:23:31:48.000,80,10.180073,57.0
DC2-SVR-LEAF-3121,leaf,FDO272501TB,10.222.251.90,n9000-16.0(6c),383:20:02:30.000,78,10.333022,59.0
DC2-SVR-LEAF-3124,leaf,FDO280318HX,10.222.251.93,n9000-16.0(6c),370:23:31:12.000,80,7.720378999999999,57.0
DC2-SVR-LEAF-3122,leaf,FDO28160T1N,10.222.251.91,n9000-16.0(6c),106:17:14:21.000,78,10.179567,57.0
DC2-SVR-LEAF-3126,leaf,FDO280318ME,10.222.251.95,n9000-16.0(6c),370:23:31:59.000,80,7.7113890000000005,55.0
DC2-SVR-LEAF-3127,leaf,FDO280318GM,10.222.251.96,n9000-16.0(6c),370:23:32:30.000,80,9.192448,56.0
DC2-SVR-LEAF-3128,leaf,FDO280318LQ,10.222.251.97,n9000-16.0(6c),370:23:32:51.000,80,8.139845000000001,55.0
DC2-SVR-LEAF-3130,leaf,FDO283601YD,10.222.251.99,n9000-16.0(6c),216:19:08:36.000,78,9.193951,57.0
DC2-SVR-LEAF-3129,leaf,FDO283601YH,10.222.251.98,n9000-16.0(6c),216:19:21:48.000,78,9.110761,58.0
DC2-SVR-LEAF-3131,leaf,FDO283608X6,10.222.251.100,n9000-16.0(6c),216:19:22:36.000,96,9.141676,58.0
DC2-SVR-LEAF-3132,leaf,FDO28360914,10.222.251.101,n9000-16.0(6c),216:19:09:33.000,96,9.144151,58.0
DC2-BDR-LEAF-3302,leaf,FDO27420LB9,10.222.251.32,n9000-16.0(6c),415:00:12:00.000,68,10.452062,73.0
DC2-BDR-LEAF-3301,leaf,FDO27420LA2,10.222.251.31,n9000-16.0(6c),415:00:13:43.000,68,10.493172999999999,73.0
DC2-SPINE-02,spine,FOX2805P5UL,10.222.251.30,n9000-16.0(6c),415:02:37:51.000,99,3.854026,45.0
DC2-SPINE-01,spine,FOX2811PNFT,10.222.251.29,n9000-16.0(6c),415:17:26:48.000,99,4.593092,47.0
DC2-SVR-LEAF-3119,leaf,FDO28130B41,10.222.251.74,n9000-16.0(6c),415:16:58:38.000,60,10.958048,60.0
DC2-SVR-LEAF-3102,leaf,FDO27420LFJ,10.222.251.34,n9000-16.0(6c),216:00:19:06.000,68,9.738384,69.0
DC2-SVR-LEAF-3125,leaf,FDO280318H1,10.222.251.94,n9000-16.0(6c),370:23:31:32.000,80,8.578868,55.0
