Severity,Code,Description,Last Change,DN
major,F0103,Physical Interface eth1/2 on Node 1 of fabric DC-ACI-01 with hostname DC-APIC-01-LT3 is now Down,2024-09-05T20:53:51.885+07:00,topology/pod-1/node-1/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth2/1 on Node 1 of fabric DC-ACI-01 with hostname DC-APIC-01-LT3 is now Down,2024-09-05T20:53:51.885+07:00,topology/pod-1/node-1/sys/cphys-[eth2/1]/fault-F0103
major,F0103,Physical Interface eth2/3 on Node 1 of fabric DC-ACI-01 with hostname DC-APIC-01-LT3 is now Down,2024-09-05T20:53:51.885+07:00,topology/pod-1/node-1/sys/cphys-[eth2/3]/fault-F0103
major,F4222,"Smart Agent (SA) failed to receive a RUM report acknowledgement from CSSM or On-Prem due to network issue. If it is offline mode, you need to manually download RUM report and import acknowledgement.",2024-09-10T19:44:14.033+07:00,licensecont/manager/fault-F4222
major,F1547,100% of packets were received in excess during the last collection interval,2025-09-25T17:03:03.034+07:00,dbgs/ac/sdvpcpath-1111-1112-to-1301-1302/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1111-1112 to the VPC pair 1301-1302,2025-09-25T17:04:03.042+07:00,dbgs/ac/sdvpcpath-1111-1112-to-1301-1302/trnst-1502/fault-F1551
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1111-1112 to the VPC pair 1301-1302,2025-09-25T17:05:33.065+07:00,dbgs/ac/sdvpcpath-1111-1112-to-1301-1302/trnst-1501/fault-F1551
major,F1549,100% of packets were dropped during the last collection interval on the path from the VPC pair 1101-1102 to the VPC pair 1103-1104,2025-07-20T02:12:31.758+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1103-1104/trnst-1502/fault-F1549
major,F1545,100% of packets were dropped during the last collection interval,2025-07-20T02:12:31.758+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1103-1104/fault-F1545
major,F1549,100% of packets were dropped during the last collection interval on the path from the VPC pair 1101-1102 to the VPC pair 1103-1104,2025-09-24T21:01:33.096+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1103-1104/trnst-1501/fault-F1549
major,F1549,100% of packets were dropped during the last collection interval on the path from the VPC pair 1101-1102 to the VPC pair 1107-1108,2025-08-09T02:12:02.342+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1107-1108/trnst-1502/fault-F1549
major,F1545,100% of packets were dropped during the last collection interval,2025-08-09T02:12:02.345+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1107-1108/fault-F1545
major,F1549,100% of packets were dropped during the last collection interval on the path from the VPC pair 1101-1102 to the VPC pair 1107-1108,2025-08-09T02:22:25.807+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1107-1108/trnst-1501/fault-F1549
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1107-1108 to the VPC pair 1101-1102,2025-08-09T02:12:02.341+07:00,dbgs/ac/sdvpcpath-1107-1108-to-1101-1102/trnst-1501/fault-F1551
major,F1547,100% of packets were received in excess during the last collection interval,2025-08-09T02:12:02.343+07:00,dbgs/ac/sdvpcpath-1107-1108-to-1101-1102/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1107-1108 to the VPC pair 1101-1102,2025-08-09T02:23:55.822+07:00,dbgs/ac/sdvpcpath-1107-1108-to-1101-1102/trnst-1502/fault-F1551
major,F0103,Physical Interface eth2/1 on Node 2 of fabric DC-ACI-01 with hostname DC-APIC-02-LT3 is now Down,2024-09-05T21:16:35.195+07:00,topology/pod-1/node-2/sys/cphys-[eth2/1]/fault-F0103
major,F0103,Physical Interface eth2/3 on Node 2 of fabric DC-ACI-01 with hostname DC-APIC-02-LT3 is now Down,2024-09-05T21:16:35.195+07:00,topology/pod-1/node-2/sys/cphys-[eth2/3]/fault-F0103
major,F0103,Physical Interface eth1/2 on Node 2 of fabric DC-ACI-01 with hostname DC-APIC-02-LT3 is now Down,2024-09-05T21:16:35.195+07:00,topology/pod-1/node-2/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth1/2 on Node 3 of fabric DC-ACI-01 with hostname DC-APIC-03-LT3 is now Down,2024-09-05T21:33:39.140+07:00,topology/pod-1/node-3/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth2/3 on Node 3 of fabric DC-ACI-01 with hostname DC-APIC-03-LT3 is now Down,2024-09-05T21:33:39.140+07:00,topology/pod-1/node-3/sys/cphys-[eth2/3]/fault-F0103
major,F0103,Physical Interface eth2/1 on Node 3 of fabric DC-ACI-01 with hostname DC-APIC-03-LT3 is now Down,2024-09-05T21:33:39.140+07:00,topology/pod-1/node-3/sys/cphys-[eth2/1]/fault-F0103
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1103-1104 to the VPC pair 1101-1102,2025-08-15T23:51:30.945+07:00,dbgs/ac/sdvpcpath-1103-1104-to-1101-1102/trnst-1501/fault-F1551
major,F1547,100% of packets were received in excess during the last collection interval,2025-09-25T17:05:32.635+07:00,dbgs/ac/sdvpcpath-1103-1104-to-1101-1102/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1103-1104 to the VPC pair 1101-1102,2025-09-25T17:05:32.634+07:00,dbgs/ac/sdvpcpath-1103-1104-to-1101-1102/trnst-1502/fault-F1551
major,F1547,100% of packets were received in excess during the last collection interval,2025-01-06T11:49:04.004+07:00,dbgs/ac/sdvpcpath-1109-1110-to-1301-1302/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1109-1110 to the VPC pair 1301-1302,2025-02-04T20:06:05.870+07:00,dbgs/ac/sdvpcpath-1109-1110-to-1301-1302/trnst-1502/fault-F1551
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1109-1110 to the VPC pair 1301-1302,2025-01-06T11:49:04.003+07:00,dbgs/ac/sdvpcpath-1109-1110-to-1301-1302/trnst-1501/fault-F1551
major,F1545,14% of packets were dropped during the last collection interval,2025-09-25T17:05:02.630+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1301-1302/fault-F1545
major,F1549,15% of packets were dropped during the last collection interval on the path from the VPC pair 1101-1102 to the VPC pair 1301-1302,2025-09-25T17:05:32.633+07:00,dbgs/ac/sdvpcpath-1101-1102-to-1301-1302/trnst-1501/fault-F1549
major,F1547,100% of packets were received in excess during the last collection interval,2025-09-25T17:05:32.108+07:00,dbgs/ac/sdvpcpath-1113-1114-to-1301-1302/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1113-1114 to the VPC pair 1301-1302,2025-09-25T17:05:32.105+07:00,dbgs/ac/sdvpcpath-1113-1114-to-1301-1302/trnst-1502/fault-F1551
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1113-1114 to the VPC pair 1301-1302,2025-09-25T17:05:32.107+07:00,dbgs/ac/sdvpcpath-1113-1114-to-1301-1302/trnst-1501/fault-F1551
major,F1547,100% of packets were received in excess during the last collection interval,2024-10-18T10:09:54.514+07:00,dbgs/ac/sdvpcpath-1103-1104-to-1301-1302/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1103-1104 to the VPC pair 1301-1302,2024-10-18T10:09:54.514+07:00,dbgs/ac/sdvpcpath-1103-1104-to-1301-1302/trnst-1502/fault-F1551
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1103-1104 to the VPC pair 1301-1302,2024-11-19T16:38:27.146+07:00,dbgs/ac/sdvpcpath-1103-1104-to-1301-1302/trnst-1501/fault-F1551
major,F1547,100% of packets were received in excess during the last collection interval,2025-03-03T15:25:30.800+07:00,dbgs/ac/sdvpcpath-1105-1106-to-1301-1302/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1105-1106 to the VPC pair 1301-1302,2025-08-20T19:20:01.413+07:00,dbgs/ac/sdvpcpath-1105-1106-to-1301-1302/trnst-1502/fault-F1551
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1105-1106 to the VPC pair 1301-1302,2025-03-03T15:25:30.799+07:00,dbgs/ac/sdvpcpath-1105-1106-to-1301-1302/trnst-1501/fault-F1551
major,F1547,100% of packets were received in excess during the last collection interval,2024-10-18T10:10:29.216+07:00,dbgs/ac/sdvpcpath-1107-1108-to-1301-1302/fault-F1547
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1107-1108 to the VPC pair 1301-1302,2024-10-18T10:10:29.216+07:00,dbgs/ac/sdvpcpath-1107-1108-to-1301-1302/trnst-1502/fault-F1551
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 1107-1108 to the VPC pair 1301-1302,2025-02-09T21:49:31.799+07:00,dbgs/ac/sdvpcpath-1107-1108-to-1301-1302/trnst-1501/fault-F1551
major,F3265,Could not assign routable IP addresses to Node (ID 1301).,2024-09-05T21:36:14.181+07:00,uni/controller/extRoutableNodeDef-1301/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 1111).,2024-09-05T21:36:14.181+07:00,uni/controller/extRoutableNodeDef-1111/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 1302).,2024-09-05T21:36:14.181+07:00,uni/controller/extRoutableNodeDef-1302/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 1501).,2024-09-05T21:36:14.181+07:00,uni/controller/extRoutableNodeDef-1501/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 1502).,2024-09-05T21:36:14.181+07:00,uni/controller/extRoutableNodeDef-1502/fault-F3265
major,F2833,"PBR service redir grp id 2 on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state, reason tracked as down.",2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/destgrp-2/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state, reason tracked as down.",2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/destgrp-3/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state, reason tracked as down.",2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2457600]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.136 on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state, reason tracked as down.",2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2457600]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state. Reason: Service Device is tracked as down,2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/destgrp-2/rsdestAtt-[topology/pod-1/node-1101/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2457600]]/fault-F4203
major,F4203,The PBR destination in the PBR destination group on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state. Reason: Service Device is tracked as down,2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-1101/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2457600]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::3 on nodeid 1101 fabric hostname DC-SVR-LEAF-1101-LT3 is in failed state, reason Health grp service is down.",2025-02-10T15:18:06.920+07:00,topology/pod-1/node-1101/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/fault-F2911
