Hostname,Role,Serial,IP,Version,Uptime,Health,CPU,Memory
DC-SVR-LEAF-1103-LT3,leaf,FDO2712052P,10.220.251.35,n9000-16.0(6c),383:18:16:50.000,96,11.237918,59.0
DC-SVR-LEAF-1101-LT3,leaf,FDO26401E2B,10.220.251.33,n9000-16.0(6c),383:18:18:48.000,96,9.196977,69.0
DC-SVR-LEAF-1102-LT3,leaf,FDO2639137D,10.220.251.34,n9000-16.0(6c),384:18:07:50.000,96,9.093066,69.0
DC-SVR-LEAF-1105-LT3,leaf,FDO27120PCS,10.220.251.37,n9000-16.0(6c),383:18:17:39.000,72,10.747484,62.0
DC-SVR-LEAF-1108-LT3,leaf,FDO280318H0,10.220.251.40,n9000-16.0(6c),384:18:05:59.000,68,8.548987,62.0
DC-SVR-LEAF-1106-LT3,leaf,FDO271204ZT,10.220.251.38,n9000-16.0(6c),384:18:06:48.000,96,10.771099,62.0
DC-SVR-LEAF-1107-LT3,leaf,FDO280306SL,10.220.251.39,n9000-16.0(6c),383:18:17:38.000,72,8.489118000000001,59.0
DC-SVR-LEAF-1110-LT3,leaf,FDO280318FY,10.220.251.42,n9000-16.0(6c),384:18:50:08.000,52,8.951529,59.0
DC-SVR-LEAF-1109-LT3,leaf,FDO280306PG,10.220.251.41,n9000-16.0(6c),383:18:17:45.000,52,8.944687,59.0
DC-SVR-LEAF-1112-LT3,leaf,FDO272501W4,10.220.251.44,n9000-16.0(6c),384:18:08:27.000,72,9.287475,59.0
DC-SVR-LEAF-1111-LT3,leaf,FDO272501T5,10.220.251.43,n9000-16.0(6c),383:18:19:13.000,78,9.515715,59.0
DC-SVR-LEAF-1114-LT3,leaf,FDO272501UG,10.220.251.46,n9000-16.0(6c),384:18:08:35.000,100,9.033269,56.0
DC-SVR-LEAF-1113-LT3,leaf,FDO272501VH,10.220.251.45,n9000-16.0(6c),383:18:19:04.000,100,9.058384,56.0
DC-BDR-LEAF-1301-LT3,leaf,FDO264008NY,10.220.251.31,n9000-16.0(6c),383:18:18:45.000,59,10.591172,70.0
DC-BDR-LEAF-1302-LT3,leaf,FDO26400K2K,10.220.251.32,n9000-16.0(6c),384:18:08:25.000,59,10.926352000000001,70.0
DC-SVR-LEAF-1104-LT3,leaf,FDO271204ZU,10.220.251.36,n9000-16.0(6c),384:18:07:07.000,96,11.106164,59.0
DC-SPINE-01-LT3,spine,FOX2701P0VV,10.220.251.29,n9000-16.0(6c),383:18:15:32.000,95,3.70402,45.0
DC-SPINE-02-LT3,spine,FOX2701P0V9,10.220.251.30,n9000-16.0(6c),384:18:07:17.000,95,3.861131,45.0
