Severity,Code,Description,Last Change,DN
major,F4222,"Smart Agent (SA) failed to receive a RUM report acknowledgement from CSSM or On-Prem due to network issue. If it is offline mode, you need to manually download RUM report and import acknowledgement.",2024-09-19T17:16:32.824+00:00,licensecont/manager/fault-F4222
major,F4291,Smart Agent (SA) failed to communicate with CSSM or On-Prem. Please check if network settings are configured correctly and network connectivity has any issue.,2024-09-19T17:19:02.857+00:00,licensecont/manager/fault-F4291
major,F0103,Physical Interface eth1/2 on Node 1 of fabric DRC-ACI-01 with hostname DRC-APIC-01-LT1 is now Down,2024-09-19T16:37:12.275+00:00,topology/pod-1/node-1/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth2/3 on Node 1 of fabric DRC-ACI-01 with hostname DRC-APIC-01-LT1 is now Down,2024-09-19T16:37:12.275+00:00,topology/pod-1/node-1/sys/cphys-[eth2/3]/fault-F0103
major,F0103,Physical Interface eth2/1 on Node 1 of fabric DRC-ACI-01 with hostname DRC-APIC-01-LT1 is now Down,2024-09-19T16:37:12.275+00:00,topology/pod-1/node-1/sys/cphys-[eth2/1]/fault-F0103
major,F0103,Physical Interface eth2/3 on Node 3 of fabric DRC-ACI-01 with hostname DRC-APIC-03-LT1 is now Down,2024-09-19T17:10:48.362+00:00,topology/pod-1/node-3/sys/cphys-[eth2/3]/fault-F0103
major,F0103,Physical Interface eth1/2 on Node 3 of fabric DRC-ACI-01 with hostname DRC-APIC-03-LT1 is now Down,2024-09-19T17:10:48.362+00:00,topology/pod-1/node-3/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth2/1 on Node 3 of fabric DRC-ACI-01 with hostname DRC-APIC-03-LT1 is now Down,2024-09-19T17:10:48.362+00:00,topology/pod-1/node-3/sys/cphys-[eth2/1]/fault-F0103
major,F0103,Physical Interface eth1/2 on Node 2 of fabric DRC-ACI-01 with hostname DRC-APIC-02-LT1 is now Down,2024-09-19T16:51:01.202+00:00,topology/pod-1/node-2/sys/cphys-[eth1/2]/fault-F0103
major,F0103,Physical Interface eth2/3 on Node 2 of fabric DRC-ACI-01 with hostname DRC-APIC-02-LT1 is now Down,2024-09-19T16:51:01.202+00:00,topology/pod-1/node-2/sys/cphys-[eth2/3]/fault-F0103
major,F0103,Physical Interface eth2/1 on Node 2 of fabric DRC-ACI-01 with hostname DRC-APIC-02-LT1 is now Down,2024-09-19T16:51:01.202+00:00,topology/pod-1/node-2/sys/cphys-[eth2/1]/fault-F0103
major,F3265,Could not assign routable IP addresses to Node (ID 2501).,2024-09-19T17:13:05.640+00:00,uni/controller/extRoutableNodeDef-2501/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 2502).,2024-09-19T17:13:05.640+00:00,uni/controller/extRoutableNodeDef-2502/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 2302).,2024-09-19T17:13:05.640+00:00,uni/controller/extRoutableNodeDef-2302/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 2111).,2024-09-19T17:13:05.640+00:00,uni/controller/extRoutableNodeDef-2111/fault-F3265
major,F3265,Could not assign routable IP addresses to Node (ID 2301).,2024-09-19T17:13:05.640+00:00,uni/controller/extRoutableNodeDef-2301/fault-F3265
major,F1551,100% of packets were received in excess during the last collection interval on the path from the VPC pair 2115-2116 to the VPC pair 2301-2302,2025-09-25T09:37:01.506+00:00,dbgs/ac/sdvpcpath-2115-2116-to-2301-2302/trnst-2501/fault-F1551
major,F1296,vPC vPC-DRC-FW-NS is down in Pod 1 node 2111 fabric hostname DRC-SVR-LEAF-2111-LT1,2024-09-19T14:32:29.403+00:00,topology/pod-1/node-2111/sys/vpc/inst/dom-16/if-2/fault-F1296
major,F1296,vPC vPC-DRC-FW-EW is down in Pod 1 node 2111 fabric hostname DRC-SVR-LEAF-2111-LT1,2024-09-19T14:32:29.403+00:00,topology/pod-1/node-2111/sys/vpc/inst/dom-16/if-1/fault-F1296
major,F2833,"PBR service redir grp id 2 on nodeid 2111 fabric hostname DRC-SVR-LEAF-2111-LT1 is in failed state, reason tracked as down.",2024-09-19T14:31:29.388+00:00,topology/pod-1/node-2111/sys/svcredir/inst/destgrp-2/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 2111 fabric hostname DRC-SVR-LEAF-2111-LT1 is in failed state, reason tracked as down.",2024-09-19T14:31:29.388+00:00,topology/pod-1/node-2111/sys/svcredir/inst/destgrp-3/fault-F2833
