Hostname,Role,Serial,IP,Version,Uptime,Health,CPU,Memory
DRC-SVR-LEAF-2101-LT1,leaf,FDO263913Y2,10.221.251.33,n9000-16.0(6c),370:19:52:43.000,99,8.765015,66.0
DRC-SVR-LEAF-2102-LT1,leaf,FDO26400YTJ,10.221.251.34,n9000-16.0(6c),370:20:37:43.000,99,8.758876,64.0
DRC-SVR-LEAF-2103-LT1,leaf,FDO271204Y4,10.221.251.35,n9000-16.0(6c),370:19:48:24.000,78,7.0665569999999995,57.0
DRC-SVR-LEAF-2104-LT1,leaf,FDO271126UU,10.221.251.36,n9000-16.0(6c),370:20:32:28.000,96,7.096137000000001,56.0
DRC-SVR-LEAF-2105-LT1,leaf,FDO28350JNY,10.221.251.37,n9000-16.0(6c),309:18:39:08.000,96,7.2683979999999995,57.0
DRC-SVR-LEAF-2106-LT1,leaf,FDO283601WU,10.221.251.38,n9000-16.0(6c),309:20:19:57.000,96,7.193062,58.0
DRC-SVR-LEAF-2107-LT1,leaf,FDO280318FQ,0.0.0.0,n9000-16.0(6c),229:23:06:09.000,80,6.823628,56.0
DRC-SVR-LEAF-2108-LT1,leaf,FDO280318GN,0.0.0.0,n9000-16.0(6c),229:23:04:47.000,80,6.908149,56.0
DRC-SVR-LEAF-2111-LT1,leaf,FDO272501U2,10.221.251.43,n9000-16.0(6c),370:19:55:41.000,96,8.521147000000001,56.0
DRC-SVR-LEAF-2112-LT1,leaf,FDO272501VA,10.221.251.44,n9000-16.0(6c),370:20:40:49.000,96,8.529175,56.0
DRC-SVR-LEAF-2114-LT1,leaf,FDO272501SJ,10.221.251.46,n9000-16.0(6c),370:20:39:52.000,99,8.289595,55.0
DRC-SVR-LEAF-2113-LT1,leaf,FDO272501S3,10.221.251.45,n9000-16.0(6c),370:19:55:30.000,99,8.269512,54.0
DRC-SVR-LEAF-2115-LT1,leaf,FDO272501QW,10.221.251.47,n9000-16.0(6c),370:19:56:05.000,99,8.275469000000001,54.0
DRC-SVR-LEAF-2116-LT1,leaf,FDO272501UW,10.221.251.48,n9000-16.0(6c),370:20:40:26.000,99,8.444013,56.0
DRC-BDR-LEAF-2301-LT1,leaf,FDO264008P9,10.221.251.31,n9000-16.0(6c),370:19:52:52.000,96,8.622517,67.0
DRC-BDR-LEAF-2302-LT1,leaf,FDO26401DZL,10.221.251.32,n9000-16.0(6c),370:20:34:11.000,96,8.706320999999999,69.0
DRC-SPINE-01-LT1,spine,FOX2701P0VF,10.221.251.29,n9000-16.0(6c),370:19:17:47.000,99,3.23369,44.0
DRC-SPINE-02-LT1,spine,FOX2701P0VG,10.221.251.30,n9000-16.0(6c),370:18:32:06.000,99,3.2671010000000003,44.0
